"player_id","player_name","games","time","goals","xG","assists","xA","shots","key_passes","yellow_cards","red_cards","position","team_name","npg","npxG","xGChain","xGBuildup","year"
5169,"Youssef En-Nesyri",38,2308,18,15.794806163758,0,2.64206456206739,77,13,2,0,"F S","Sevilla",18,15.794806163758,17.816116752103,1.08705353178084,2020
1109,"Lucas Ocampos",34,2658,5,10.7770411428064,4,6.15305967442691,69,33,3,0,"F M S","Sevilla",1,7.06065302342176,14.0685943756253,5.12779190205038,2020
2094,"Ivan Rakitic",37,2245,4,4.98002571705729,2,1.46555488742888,40,25,4,0,"M S","Sevilla",2,3.49385589826852,10.2170886211097,6.68889684975147,2020
2106,"Munir",24,831,4,4.33398550469428,2,1.4200245719403,31,11,2,0,"F M S","Sevilla",4,4.33398550469428,5.49080318771303,2.06379029899836,2020
7887,"Luuk de Jong",34,1256,4,5.08569203689694,0,1.05921123921871,32,11,3,0,"F S","Sevilla",4,5.08569203689694,8.13772325217724,3.16858653351665,2020
615,"Fernando",31,2545,3,1.39934005215764,4,3.35823880694807,6,19,6,0,"M S","Sevilla",3,1.39934005215764,11.5649177972227,8.87679350189865,2020
1129,"Suso",34,2260,3,2.09921641368419,4,5.04665903188288,48,44,2,0,"F M S","Sevilla",3,2.09921641368419,13.0063067190349,8.38090481795371,2020
1491,"Alejandro Gomez",18,916,3,0.795960469171405,1,1.23854823969305,18,17,0,0,"F M S","Sevilla",3,0.795960469171405,4.17567482404411,2.68597762472928,2020
6433,"Jules Koundé",34,2973,2,2.13866151869297,1,0.938971510156989,21,9,4,0,"D S","Sevilla",2,2.13866151869297,8.625751812011,8.34719854965806,2020
1836,"Franco Vázquez",15,136,1,0.17524769436568,0,0.137769343331456,3,2,1,0,"M S","Sevilla",1,0.17524769436568,1.4521442502737,1.27370234578848,2020
2064,"Sergio Escudero",9,571,1,0.211502198129892,0,0.24641184695065,6,6,3,0,"D S","Sevilla",1,0.211502198129892,1.39580379985273,1.16886430978775,2020
2122,"Joan Jordán",35,2436,1,2.075498836115,6,3.08997112885118,24,38,6,1,"M S","Sevilla",1,2.075498836115,10.8656818661839,7.97055201046169,2020
5712,"Diego Carlos",33,2792,1,1.65530323889107,0,0.662569371052086,15,8,9,1,"D S","Sevilla",1,1.65530323889107,8.23569549433887,7.79594054631889,2020
6120,"Bono",33,2970,1,0.515121161937714,0,0.0226519554853439,1,1,3,0,"GK","Sevilla",1,0.515121161937714,3.99154893960804,3.96889696922153,2020
8939,"Marcos Acuña",30,2329,1,0.808205422945321,2,2.85144003015012,18,32,5,0,"D S","Sevilla",1,0.808205422945321,9.32657099142671,7.21633880771697,2020
616,"Jesús Navas",34,2847,0,1.24969473853707,6,7.60072590596974,15,64,4,0,"D","Sevilla",0,1.24969473853707,14.7524076979607,7.90633908845484,2020
2070,"Carlos Fernández",5,147,0,0.209707275032997,0,0.817022852599621,2,2,0,0,"F S","Sevilla",0,0.209707275032997,0.234673876315355,0.0573212634772062,2020
2103,"Aleix Vidal",12,583,0,0.0322923958301544,1,0.865787472575903,1,6,2,0,"D S","Sevilla",0,0.0322923958301544,2.68556957319379,2.51590765267611,2020
2282,"Sergi Gómez",9,733,0,0.0438466295599937,0,0.0214300788938999,1,1,2,0,"D","Sevilla",0,0.0438466295599937,2.81873489171267,2.81873489171267,2020
2424,"Óliver Torres",33,1398,0,1.05513264238834,3,1.96720102615654,10,27,2,0,"F M S","Sevilla",0,1.05513264238834,6.68362030945718,4.91227863170207,2020
3388,"Karim Rekik",11,648,0,0.0878191478550434,0,0.134596703574061,2,3,2,0,"D S","Sevilla",0,0.0878191478550434,2.16598062962294,2.15237729996443,2020
6570,"Óscar Rodríguez",20,489,0,0.384868767112494,0,0.86766380444169,10,11,1,0,"F M S","Sevilla",0,0.384868767112494,2.12749297730625,1.22215895168483,2020
6970,"Tomás Vaclik",5,450,0,0,0,0,0,0,0,0,"GK","Sevilla",0,0,0.466231716796756,0.466231716796756,2020
7338,"Bryan Gil Salvatierra",1,11,0,0,0,0,0,0,0,0,"S","Sevilla",0,0,0.401969492435455,0.401969492435455,2020
7888,"Nemanja Gudelj",30,1006,0,0.273405650630593,0,0.0452617052942514,9,2,8,0,"M S","Sevilla",0,0.273405650630593,3.59420673549175,3.44502656534314,2020
9132,"Oussama Idrissi",3,19,0,0.396165251731873,0,0,1,0,0,0,"S","Sevilla",0,0.396165251731873,0.478329597041011,0.0821643453091383,2020
5232,"Alexander Isak",34,2389,16,16.4676875025034,2,1.8415152458474,81,10,4,0,"F S","Real Sociedad",16,15.7244098596275,17.6139667425305,2.98230429925025,2020
2234,"Mikel Oyarzabal",33,2442,11,10.8418909711763,8,7.35904046520591,62,51,1,0,"F M S","Real Sociedad",5,5.63907546084374,18.7152111530304,9.9772272631526,2020
6118,"Portu",37,2181,8,6.30811719037592,3,3.69291685894132,31,26,3,0,"F M S","Real Sociedad",8,6.30811719037592,11.8517260216177,3.55212042015046,2020
323,"Adnan Januzaj",27,1011,4,5.24963269010186,4,4.49297902174294,32,23,2,0,"F M S","Real Sociedad",1,3.01979980058968,8.39149073138833,4.01158918067813,2020
2361,"Willian José",13,685,3,3.39552422985435,1,1.16488599218428,14,7,0,0,"F S","Real Sociedad",3,2.65224660560489,3.84389291517437,0.943986941128969,2020
7195,"Roberto López",17,490,3,0.603907760232687,0,0.812205887399614,14,7,0,0,"M S","Real Sociedad",3,0.603907760232687,1.3193899160251,0.174370734021068,2020
