"player_id","player_name","games","time","goals","xG","assists","xA","shots","key_passes","yellow_cards","red_cards","position","team_name","npg","npxG","xGChain","xGBuildup","year"
677,"Jordan Veretout",29,2086,10,8.36126392520964,2,2.95423730090261,40,26,4,0,"M S","Roma",5,4.55484968982637,16.5583109613508,11.9052522499114,2020
2252,"Borja Mayoral",31,1544,10,7.81433123350143,2,2.11066886875778,39,23,1,0,"F M S","Roma",10,7.81433123350143,11.5270991511643,3.75120724737644,2020
1253,"Edin Dzeko",27,1838,7,14.2535093948245,3,2.37400676682591,70,29,2,0,"F S","Roma",7,13.4922105595469,17.41826543957,5.7022144664079,2020
1471,"Lorenzo Pellegrini",34,2623,7,6.70633310172707,6,7.67514629941434,70,65,10,0,"M S","Roma",6,5.94503427390009,17.7201301213354,9.43337373435497,2020
687,"Pedro",27,1607,5,4.9878731360659,2,3.37793995905668,43,28,3,1,"M S","Roma",5,4.9878731360659,12.2652648855001,5.15206715837121,2020
6159,"Gianluca Mancini",33,2857,4,2.66748994123191,2,1.01185468956828,28,8,10,0,"D","Roma",4,2.66748994123191,11.4878690894693,10.0099896583706,2020
1500,"Leonardo Spinazzola",27,2137,2,2.17963327374309,4,6.56245370954275,22,37,0,0,"D S","Roma",2,2.17963327374309,14.6537248939276,6.96079616621137,2020
7609,"Carles Pérez",21,742,2,2.88269458338618,1,1.29759446531534,23,15,0,0,"F M S","Roma",2,2.88269458338618,5.87542221695185,2.46009103767574,2020
1000,"Federico Fazio",6,409,1,0.0719498656690121,0,0.0416712276637554,3,1,2,0,"D S","Roma",1,0.0719498656690121,1.01766969263554,1.01766969263554,2020
1168,"Bryan Cristante",34,2142,1,2.36690585687757,3,1.73718842864037,28,16,8,0,"D M S","Roma",1,2.36690585687757,12.0236153546721,8.87458834983408,2020
1252,"Stephan El Shaarawy",10,564,1,1.44022286497056,1,1.20218102633953,16,17,1,0,"M S","Roma",1,1.44022286497056,4.65214924514294,2.19697627797723,2020
1380,"Amadou Diawara",18,646,1,0.929735267534852,0,0.285478860139847,7,1,2,1,"M S","Roma",1,0.929735267534852,3.42589311674237,2.49615785852075,2020
1567,"Bruno Peres",30,1402,1,1.24776883982122,2,4.32292224094272,12,28,6,0,"D M S","Roma",1,1.24776883982122,9.76624067500234,6.72525858692825,2020
6324,"Marash Kumbulla",21,1368,1,0.851186863146722,0,0.46160576865077,6,4,8,0,"D S","Roma",1,0.851186863146722,5.45987077243626,5.02354875393212,2020
6362,"Rick Karsdorp",34,2552,1,1.17709055449814,6,5.34918536245823,13,26,2,0,"D S","Roma",1,1.17709055449814,15.1186668816954,10.5603190045804,2020
628,"Chris Smalling",16,1102,0,0.295858962461352,1,0.881498456001282,7,2,3,0,"D S","Roma",0,0.295858962461352,5.43342370726168,5.43342370726168,2020
1247,"Juan Jesus",5,150,0,0,0,0,0,0,0,0,"S","Roma",0,0,0.836048174649477,0.836048174649477,2020
1509,"Davide Santon",10,592,0,0.495864522643387,1,0.858185455203056,5,5,3,0,"D S","Roma",0,0.495864522643387,2.91295763850212,2.09158619493246,2020
1609,"Antonio Mirante",13,1156,0,0,0,0,0,0,2,0,"GK","Roma",0,0,2.03416263591498,2.03416263591498,2020
2107,"Pau López",21,1814,0,0,0,0,0,0,0,0,"GK S","Roma",0,0,4.27622171863914,4.27622171863914,2020
3295,"Javier Pastore",5,72,0,0,0,0.741819502785802,0,4,0,0,"S","Roma",0,0,1.20817573647946,0.819247782230377,2020
6750,"Gonzalo Villar",33,1855,0,0.537063727155328,1,0.660321842879057,10,8,7,0,"M S","Roma",0,0.537063727155328,10.297204611823,9.28717510215938,2020
6963,"Justin Kluivert",2,15,0,0.0135014010593295,0,0,1,0,0,0,"S","Roma",0,0.0135014010593295,0,0,2020
6966,"Daniel Fuzato",5,450,0,0,0,0,0,0,0,0,"GK","Roma",0,0,0.348241342231631,0.348241342231631,2020
7413,"Ibañez",30,2405,0,1.11062314081937,1,1.74212541989982,16,13,5,1,"D S","Roma",0,1.11062314081937,12.2419011583552,11.5375829851255,2020
8129,"Riccardo Calafiori",3,66,0,0,0,0,0,0,2,0,"D S","Roma",0,0,0.0414476543664932,0.0414476543664932,2020
8130,"Ebrima Darboe",5,330,0,0.0693195229396224,0,0.0309687070548534,3,2,2,0,"M S","Roma",0,0.0693195229396224,0.895625482313335,0.840571041218936,2020
9036,"Nicola Zalewski",1,8,0,0,1,0.0775498077273369,0,1,0,0,"S","Roma",0,0,0.0775498077273369,0,2020
9419,"Bryan Reynolds",5,283,0,0,0,0.026818810030818,0,1,0,0,"D S","Roma",0,0,0.933073729276657,0.906254917383194,2020
9518,"Edoardo Bove",1,8,0,0,0,0,0,0,0,0,"S","Roma",0,0,0.0775498077273369,0.0775498077273369,2020
1209,"Ciro Immobile",35,2887,20,19.7711157593876,6,7.20258612837642,119,54,3,1,"F S","Lazio",16,13.6807251814753,24.1168966144323,4.9698695205152,2020
1219,"Luis Alberto",34,2663,9,5.53730524983257,2,6.69944306463003,69,80,5,0,"M S","Lazio",9,5.53730524983257,18.1169739365578,8.42764097638428,2020
1809,"Joaquín Correa",28,1948,8,7.40798877738416,3,2.48082623817027,54,29,1,1,"F S","Lazio",7,6.64668995700777,11.7520429715514,4.36545406468213,2020
2116,"Felipe Caicedo",25,915,8,5.32844338566065,0,0.725061876699328,31,12,5,0,"F S","Lazio",7,4.56714455038309,6.08547831699252,1.31119202636182,2020
1543,"Sergej Milinkovic-Savic",32,2768,7,6.00330361910164,10,6.28231445793062,63,43,4,0,"M","Lazio",7,6.00330361910164,17.1715090535581,10.4632326141,2020
6176,"Adam Marusic",36,2963,2,2.18273669201881,3,1.75514831440523,27,29,2,0,"D S","Lazio",2,2.18273669201881,12.3610692210495,9.41366412490606,2020
6180,"Manuel Lazzari",32,2627,2,2.22032772842795,5,3.43618510477245,24,28,2,1,"D S","Lazio",2,2.22032772842795,12.5397104024887,7.61822671815753,2020
922,"Andreas Pereira",26,496,1,0.767356754280627,2,1.31761891394854,14,13,5,1,"M S","Lazio",1,0.767356754280627,2.34605544805527,0.658051206730306,2020
2437,"Gonzalo Escalante",24,707,1,1.07101993914694,1,0.375179270282388,8,2,5,0,"M S","Lazio",1,1.07101993914694,2.28629025723785,1.37352558225393,2020
9002,"Vedat Muriqi",27,809,1,3.2703414298594,0,0.61836176738143,31,9,1,0,"F S","Lazio",1,3.2703414298594,5.91645570471883,2.18685687799007,2020
475,"Lucas Leiva",32,2175,0,0.363860338926315,0,0.546513898298144,12,7,10,0,"M S","Lazio",0,0.363860338926315,10.5489876754582,9.71712216734886,2020
1203,"Wesley Hoedt",17,944,0,0.133710611611605,0,0.106790920719504,2,3,6,0,"D S","Lazio",0,0.133710611611605,1.70520159229636,1.68495017848909,2020
1204,"Patric",25,1605,0,0.527248467318714,1,1.11299191927537,7,11,8,0,"D S","Lazio",0,0.527248467318714,6.55820791423321,5.44596185535192,2020
1205,"Senad Lulic",16,713,0,0.482340035960078,0,0.363388117402792,6,4,1,0,"D S","Lazio",0,0.482340035960078,2.28083154186606,1.57691460102797,2020
1206,"Danilo Cataldi",19,552,0,0.322028147988021,0,0.236221278086305,6,5,4,0,"M S","Lazio",0,0.322028147988021,3.09261520206928,2.64546154439449,2020
1207,"Marco Parolo",18,645,0,0.439540227875113,2,0.871910318732262,7,4,5,0,"D M S","Lazio",0,0.439540227875113,2.66379489656538,1.65870840940624,2020
1214,"Thomas Strakosha",9,810,0,0,0,0,0,0,1,0,"GK","Lazio",0,0,1.12689217505977,1.12689217505977,2020
1374,"José Reina",29,2610,0,0,0,0.0212092306464911,0,1,1,0,"GK","Lazio",0,0,4.28246471472085,4.26125548407435,2020
1463,"Francesco Acerbi",32,2814,0,1.04006170108914,1,1.17975364904851,8,10,7,1,"D","Lazio",0,1.04006170108914,10.4975676406175,9.72127623297274,2020
